hver	14
aldri	11
forsettlig	8
brått	8
innhøsting	8
som	8
dessuten	7
jeg	7
skal	7
at	7
eller	7
kvist	6
nærvær	6
et	6
gitt	6
la	6
ved	6
forholdsmessig	6
få	6
med	6
vil	6
innstilt	6
maken	6
kunne	6
vel	6
skulle	6
fordrive	5
slik	5
spørre	5
om	5
fjøs	5
kom	5
bråk	5
litt	5
må	5
ham	5
her	5
være	5
helt	5
disponent	5
av	5
for	5
var	5
gruble	5
inn	5
tine	5
grådighet	5
slåss	4
sett	4
brudd	4
hersker	4
rekke	4
formel	4
knust	4
fra	4
si	4
gi	4
hun	4
tilbake	4
kan	4
angivelig	4
bli	4
etter	4
jo	4
mild	3
du	3
dere	3
rakk	3
behag	3
ubehagelig	3
snu	3
åssen	3
hei	3
gå	3
sammenheng	3
herre	3
atferd	3
brutt	3
over	3
ordentlig	3
tynt	3
kutte	3
uten	3
altfor	3
men	3
bare	3
dette	3
nå	3
min	3
der	3
din	3
ut	3
hvor	3
ikke	3
da	3
og	3
er	3
det	3
på	3
har	3
delta	3
ha	3
alt	3
gjør	3
igjen	3
han	3
deg	3
hva	3
arr	3
haug	3
gjensidig	3
hvorfor	3
særlig	3
opp	3
når	3
takk	3
også	3
nok	3
sammen	3
fordi	3
lindre	3
avskyelig	3
flat	3
presang	3
anledning	3
sta	3
språk	3
mye	3
vie	3
gikk	3
tvinge	2
deretter	2
helst	2
nesten	2
løv	2
avgjørende	2
sinne	2
treffe	2
hest	2
hjemme	2
kun	2
grad	2
konstant	2
analyse	2
øvre	2
adferd	2
vag	2
avlede	2
visse	2
plan	2
planet	2
punktum	2
levekår	2
oppfordring	2
ned	2
kveld	2
fjerne	2
jeg vet ikke	2
tid	2
tidligere	2
lyd	2
hensyn	2
lage	2
slå opp	2
koselig	2
kutte ut	2
hverandre	2
til og med	2
sette	2
vær så god	2
vant	2
hatt	2
med mindre	2
ingenting	2
oss	2
til	2
de	2
straks	2
gjøre	2
får	2
dem	2
meg	2
så	2
flittig	2
gror	2
vassdrag	2
lurt	2
strøk	2
ville	2
hvordan	2
går	2
kanskje	2
nede	2
kjenne	2
sa	2
ingen	2
bra	2
likevel	2
denne	2
henne	2
to	2
ble	2
forsvinne	2
fortelle	2
man	2
selv	2
før	2
overalt	2
verken	2
innom	2
pute	2
erobre	2
svimmelhet	2
altså	2
tenker	2
egentlig	2
kamerater	2
glipp	2
herlig	2
hete	2
fakultet	2
begynnelse	2
dit	2
veldig	2
hund	2
katt	2
pine	2
arv	2
glad	2
avsette	2
spise	2
egne	2
bil	2
skall	2
skje	2
beleilig	2
strev	2
slit	2
liter	2
tritt	2
for øvrig	2
fyll	2
forebygge	2
komplott	2
fatte	2
hende	2
kose	2
trist	2
trøtt	2
gang	2
sulten	2
formue	1
forferdelig	1
spesialitet	1
tjener	1
gøy	1
liv	1
skynde	1
jevnlig	1
nysgjerrighet	1
håndjern	1
svarteliste	1
sverd	1
iallfall	1
nedkjempe	1
rusfri	1
kuk	1
fitte	1
mønster	1
lei	1
drikke	1
kvitt	1
gjenopplive	1
helbrede	1
forbannelse	1
forflytte	1
halvannen	1
ligne	1
visstnok	1
visst nok	1
riktignok	1
tomhendt	1
tigge	1
tigger	1
ille	1
eventyr	1
gjennomsnitt	1
mengde	1
fiende	1
rykte	1
matrise	1
egenskap	1
sans	1
linje	1
punkt	1
bedrift	1
kverke	1
